user_id,cdn,edge
1633090567912,2749420070,0
user_id,cdn,edge
1633090581346,0,2749420070
user_id,cdn,edge
1633090595415,0,5498840140
user_id,cdn,edge
1633090611736,0,7458862210
user_id,cdn,edge
1633090628361,0,8926959280
user_id,cdn,edge
1633090648034,0,11501345350
user_id,cdn,edge
1633090664206,0,13066958350
user_id,cdn,edge
1633090681808,0,14078864420
user_id,cdn,edge
1633090694232,0,15091511420
user_id,cdn,edge
1633090711374,0,15901479420
user_id,cdn,edge
1633090727695,0,16704746420
user_id,cdn,edge
1633090746482,0,17924219420
user_id,cdn,edge
1633090763602,0,18651960420
user_id,cdn,edge
1633090776040,0,19249141420
user_id,cdn,edge
1633090790229,0,20398801420
user_id,cdn,edge
1633090804285,0,20961359420
user_id,cdn,edge
1633090820872,0,22028201420
user_id,cdn,edge
1633090836296,0,22699205490
user_id,cdn,edge
1633090850953,0,23602297490
user_id,cdn,edge
1633090865360,0,23501703560
user_id,cdn,edge
1633090884843,0,24327241560
user_id,cdn,edge
1633090898432,0,24532153560
user_id,cdn,edge
1633090914917,0,24736245630
user_id,cdn,edge
1633090927478,0,25029298630
user_id,cdn,edge
1633090937687,0,25125798630
user_id,cdn,edge
1633090952889,0,25143937630
user_id,cdn,edge
1633090965626,0,25578599700
user_id,cdn,edge
1633090979227,0,25747818700
user_id,cdn,edge
1633090990465,0,25567582700
user_id,cdn,edge
1633091003738,0,25084370700
